"","index","SubjectID","Session","Trial","Bin","Rsp"
"1",0,177,11,0,0,0
"2",1,177,11,0,1,0
"3",2,177,11,0,2,0
"4",3,177,11,0,3,1.06666666666667
"5",4,177,11,0,4,1.06666666666667
"6",5,177,11,0,5,1.06666666666667
"7",6,177,11,0,6,1.6
"8",7,177,11,0,7,2.13333333333333
"9",8,177,11,1,0,0
"10",9,177,11,1,1,0
"11",10,177,11,1,2,0.533333333333333
"12",11,177,11,1,3,1.06666666666667
"13",12,177,11,1,4,0.533333333333333
"14",13,177,11,1,5,0.533333333333333
"15",14,177,11,1,6,0
"16",15,177,11,1,7,0.533333333333333
"17",16,177,11,2,0,0
"18",17,177,11,2,1,0
"19",18,177,11,2,2,0.533333333333333
"20",19,177,11,2,3,0.533333333333333
"21",20,177,11,2,4,0
"22",21,177,11,2,5,0
"23",22,177,11,2,6,0
"24",23,177,11,2,7,0.533333333333333
"25",24,177,11,3,0,0
"26",25,177,11,3,1,0.533333333333333
"27",26,177,11,3,2,0
"28",27,177,11,3,3,0.533333333333333
"29",28,177,11,3,4,0
"30",29,177,11,3,5,0
"31",30,177,11,3,6,2.13333333333333
"32",31,177,11,3,7,0.533333333333333
"33",32,177,11,4,0,0
"34",33,177,11,4,1,0
"35",34,177,11,4,2,0
"36",35,177,11,4,3,0
"37",36,177,11,4,4,1.06666666666667
"38",37,177,11,4,5,0
"39",38,177,11,4,6,1.6
"40",39,177,11,4,7,0.533333333333333
"41",40,177,11,5,0,0
"42",41,177,11,5,1,0
"43",42,177,11,5,2,0
"44",43,177,11,5,3,0
"45",44,177,11,5,4,0
"46",45,177,11,5,5,0
"47",46,177,11,5,6,0
"48",47,177,11,5,7,0.533333333333333
"49",48,177,11,6,0,0
"50",49,177,11,6,1,0
"51",50,177,11,6,2,0.533333333333333
"52",51,177,11,6,3,1.6
"53",52,177,11,6,4,0.533333333333333
"54",53,177,11,6,5,0
"55",54,177,11,6,6,0
"56",55,177,11,6,7,0.533333333333333
"57",56,177,11,7,0,0
"58",57,177,11,7,1,0.533333333333333
"59",58,177,11,7,2,0.533333333333333
"60",59,177,11,7,3,1.6
"61",60,177,11,7,4,0
"62",61,177,11,7,5,0
"63",62,177,11,7,6,0
"64",63,177,11,7,7,0.533333333333333
"65",64,177,11,8,0,0
"66",65,177,11,8,1,0
"67",66,177,11,8,2,0
"68",67,177,11,8,3,0
"69",68,177,11,8,4,0
"70",69,177,11,8,5,1.6
"71",70,177,11,8,6,1.06666666666667
"72",71,177,11,8,7,0.533333333333333
"73",72,177,11,9,0,0
"74",73,177,11,9,1,0
"75",74,177,11,9,2,0
"76",75,177,11,9,3,0
"77",76,177,11,9,4,1.6
"78",77,177,11,9,5,1.6
"79",78,177,11,9,6,1.6
"80",79,177,11,9,7,1.6
"81",80,177,11,10,0,0
"82",81,177,11,10,1,0
"83",82,177,11,10,2,0
"84",83,177,11,10,3,0
"85",84,177,11,10,4,0
"86",85,177,11,10,5,0
"87",86,177,11,10,6,0
"88",87,177,11,10,7,0.533333333333333
"89",88,177,11,11,0,0
"90",89,177,11,11,1,0.533333333333333
"91",90,177,11,11,2,0.533333333333333
"92",91,177,11,11,3,2.66666666666667
"93",92,177,11,11,4,1.06666666666667
"94",93,177,11,11,5,0
"95",94,177,11,11,6,0
"96",95,177,11,11,7,0.533333333333333
"97",96,177,11,12,0,0
"98",97,177,11,12,1,0.533333333333333
"99",98,177,11,12,2,0
"100",99,177,11,12,3,0
